Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
Dhan Te Nan,Kaminey,Sukhwinder Singh,null,https://i.scdn.co/image/ab67616d0000b273697900b24eb6e48a78923d98,Hindi,https://open.spotify.com/track/2BOY77LvMTUOfLcnfFAJGl
Govinda Song,Sarkar,Amitabh Bachchan,null,https://i.scdn.co/image/ab67616d0000b2737090945ec38eb65dd403d7dc,Hindi,https://open.spotify.com/track/17nKwRSIrtwRseuNKTuH8D
Paintra - Extended Version,Mukkabaaz (Original Motion Picture Soundtrack),DIVINE,null,https://i.scdn.co/image/ab67616d0000b27390a1e3e21075a6bffaa7d5c5,Hindi,https://open.spotify.com/track/4hXnLzxxVrpQEMX4KUz5cH
"Get Ready To Fight Reloaded (From ""Baaghi 3"") (feat. Siddharth Basrur)","Get Ready To Fight Reloaded (From ""Baaghi 3"")",Pranaay,null,https://i.scdn.co/image/ab67616d0000b273a74f4e6250b98106e78a3da0,Hindi,https://open.spotify.com/track/3SglaOPDd7NRathWQmjFfY
Chak De India,Chak De India,Salim–Sulaiman,null,https://i.scdn.co/image/ab67616d0000b273d9366c007bfea889d08c61ec,Hindi,https://open.spotify.com/track/6D3vmtskO4RbZP3bBIDY3X
Sultan,Kgf Chapter 1,Ananya Bhat,null,https://i.scdn.co/image/ab67616d0000b2731a6d8342d05daf63cb360021,Hindi,https://open.spotify.com/track/4aO9pvX2kTJTdmJqc0YRsr
Soorma Anthem,Soorma (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,null,https://i.scdn.co/image/ab67616d0000b273c34d715d5ebccd6b155abbaa,Hindi,https://open.spotify.com/track/01d8tSqJUrPlK1l8FwgsCF
Saadda Haq,Rockstar,Mohit Chauhan,null,https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b,Hindi,https://open.spotify.com/track/7k3jpyYPnVnbO0p7iejWxL
"Ghamand Kar (From ""Tanhaji - The Unsung Warrior"")","Ghamand Kar (From ""Tanhaji - The Unsung Warrior"")",Sachet Tandon,null,https://i.scdn.co/image/ab67616d0000b273e7c04de440551fe74643638a,Hindi,https://open.spotify.com/track/4FcZBCb6dANhvsEnFlgJwG
Deva Shree Ganesha,Agneepath (Original Motion Picture Soundtrack),Ajay-Atul,null,https://i.scdn.co/image/ab67616d0000b273b22e21de789378f223e1795f,Hindi,https://open.spotify.com/track/6Ozx2ngGtXrqznTKhKBlrT
"Kar Har Maidaan Fateh (From ""Sanju"")","Kar Har Maidaan Fateh (From ""Sanju"")",Sukhwinder Singh,null,https://i.scdn.co/image/ab67616d0000b273badc10f3684a57f23c26f6c1,Hindi,https://open.spotify.com/track/3FHl1QYu76zguwjqhqcglX
Bande Hain Hum Uske,Dhoom:3,Julius Packiam-Joshilay,null,https://i.scdn.co/image/ab67616d0000b273d9cc24c0d415e40d5af3c8d5,Hindi,https://open.spotify.com/track/1FmZHc5UXiQRb0eqjkHLP5
Lakshya,Lakshya (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,null,https://i.scdn.co/image/ab67616d0000b273441b53722d32e65078a35a14,Hindi,https://open.spotify.com/track/7o1yzUVkQt2Gto5yYvzo2T
Ho Jaane Do Aar Paar,Kgf Chapter 1,Ananya Bhat,null,https://i.scdn.co/image/ab67616d0000b2731a6d8342d05daf63cb360021,Hindi,https://open.spotify.com/track/2DYiisZs93UpoPqqALizFL
Kaam 25 - Sacred Games,Kaam 25 (Sacred Games),DIVINE,null,https://i.scdn.co/image/ab67616d0000b2733179c08eecad4cf6f5c68e58,Hindi,https://open.spotify.com/track/6Kynli1iHBqJRWUCohcV9h
