Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
Raabta,Agent Vinod,Pritam,null,https://i.scdn.co/image/ab67616d0000b273e810a88d506b30bdc0935247,Hindi,https://open.spotify.com/track/6FjbAnaPRPwiP3sciEYctO
Tum Se Hi,Jab We Met,Pritam,null,https://i.scdn.co/image/ab67616d0000b27352fe6875028c892308ffc2f7,Hindi,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE
"Le Aaunga (From ""Satyaprem Ki Katha"")","Le Aaunga (From ""Satyaprem Ki Katha"")",Tanishk Bagchi,null,https://i.scdn.co/image/ab67616d0000b2732c5e04686b02b8d92c0894ad,Hindi,https://open.spotify.com/track/2cz4qH4fCauVA93JHkUMad
"Jab Tu Sajan (From ""Aap Jaisa Koi"")","Jab Tu Sajan (From ""Aap Jaisa Koi"")",Rochak Kohli,null,https://i.scdn.co/image/ab67616d0000b273003da1c30eae87ca8deafcbd,Hindi,https://open.spotify.com/track/0v716URUxpcG1AhIZmulz7
"Zamaana Lage (From ""Metro ... In Dino"")","Zamaana Lage (From ""Metro ... In Dino"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b2736d73f67ed72ae8eeb251040f,Hindi,https://open.spotify.com/track/76ec1a1bkFfOqoVf6e7nae
"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")","Agar Ho Tum (From ""Mr. And Mrs. Mahi"")",Tanishk Bagchi,null,https://i.scdn.co/image/ab67616d0000b27340bbf387f0a0286354a8dbfa,Hindi,https://open.spotify.com/track/0a17mIL7XTvYqe9mxuPd3y
Dil Jhoom,Gadar 2 (Original Motion Picture Soundtrack),Mithoon,null,https://i.scdn.co/image/ab67616d0000b2737813b389296a4f42219a9795,Hindi,https://open.spotify.com/track/11qnwt18ZckPqchzK2I3U7
"Mann Ye Mera (From ""Metro ... In Dino"")","Mann Ye Mera (From ""Metro ... In Dino"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b2739a5afd03b628b2ba07efdfea,Hindi,https://open.spotify.com/track/1iM0dkfgtTxBi7yQV16pjD
"Aur Mohabbat Kitni Karoon (From ""Metro ... In Dino"")","Aur Mohabbat Kitni Karoon (From ""Metro ... In Dino"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b273114e03dcb192736b33a42cb5,Hindi,https://open.spotify.com/track/3EIMdrD4DstJVklUH9Ai7Y
"Kesariya (From ""Brahmastra"")","Kesariya (From ""Brahmastra"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b273c08202c50371e234d20caf62,Hindi,https://open.spotify.com/track/6VBhH7CyP56BXjp8VsDFPZ
"Koi Naa (From ""Bhool Chuk Maaf"")","Koi Naa (From ""Bhool Chuk Maaf"")",Tanishk Bagchi,null,https://i.scdn.co/image/ab67616d0000b27398afca41c23a0f927ea9e327,Hindi,https://open.spotify.com/track/23UKXgXmLkT0XyPBeKx2gP
Tere Bina,Guru (Original Motion Picture Soundtrack),A.R. Rahman,null,https://i.scdn.co/image/ab67616d0000b2730504fdf58bae8cd52dd13047,Hindi,https://open.spotify.com/track/4FeczSomVWVyU4FW7xDeAI
