Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
Bahara,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,null,https://i.scdn.co/image/ab67616d0000b2731992dd7b33baf5887ea4a1ec,Hindi,https://open.spotify.com/track/1gwO79MdYdumgIjxq8eCxB
Bin Tere,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,null,https://i.scdn.co/image/ab67616d0000b2731992dd7b33baf5887ea4a1ec,Hindi,https://open.spotify.com/track/3bZPdEskcnMdepwCaDSJRl
"Pani Da Rang Male (From ""Vicky Donor"")",Vicky Donor,Ayushmann Khurrana,null,https://i.scdn.co/image/ab67616d0000b2736858ed61eee72f2722689f68,Hindi,https://open.spotify.com/track/6eTPyEkYUmDUFvNxJdNuOD
"Tum Hi Ho Bandhu (From ""Cocktail"")",Cocktail,Neeraj Shridhar,null,https://i.scdn.co/image/ab67616d0000b273b6cfbb83ebf76959832174b4,Hindi,https://open.spotify.com/track/2zZTXtLqCsICzEcztKjn47
"Chaiyya Chaiyya (From ""Dil Se"")",Bollywood's Musical Extravaganza - Sonu Nigam & Sukhwinder Singh,Sukhwinder Singh,null,https://i.scdn.co/image/ab67616d0000b273684ca32a3b75428e34af8667,Hindi,https://open.spotify.com/track/7ltsfuHdqTZ5LwPpDy1q0v
Dance Basanti,Ungli (Original Motion Picture Soundtrack),Sachin-Jigar,null,https://i.scdn.co/image/ab67616d0000b273e7a8801eb1cdd784c60125cc,Hindi,https://open.spotify.com/track/1NxlktIRgiAPJ8U06v9veI
Nagada Sang Dhol,Ravishing Deepika,Shreya Ghoshal,null,https://i.scdn.co/image/ab67616d0000b273ad448f608e25a77ab378d886,Hindi,https://open.spotify.com/track/1tlDOttHVIHtJKJazVz0Ho
Jab Se Tere Naina,Saawariya (Original Motion Picture Soundtrack),Monty Sharma,null,https://i.scdn.co/image/ab67616d0000b273bd848c36d02a36a7610d9641,Hindi,https://open.spotify.com/track/0gRNu9dVzi5aC87AI1empZ
Kar Gayi Chull,The Badshah of Party Hits,Badshah,null,https://i.scdn.co/image/ab67616d0000b27310c94c7cd311738c527ae46f,Hindi,https://open.spotify.com/track/3fPgIknlkDWXs1l2noKZbp
Bahara - Chill Version,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,null,https://i.scdn.co/image/ab67616d0000b2731992dd7b33baf5887ea4a1ec,Hindi,https://open.spotify.com/track/0495XdT8Vts83c6D62srGw
Kamariya,Mitron (Original Motion Picture Soundtrack),Lijo George,null,https://i.scdn.co/image/ab67616d0000b2739b10aea12037ba75cafc1bbb,Hindi,https://open.spotify.com/track/5HJvDTnAaDWqhsE841I1QR
Cutiepie,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Pritam,null,https://i.scdn.co/image/ab67616d0000b273bca30634e6cad10b97c03d21,Hindi,https://open.spotify.com/track/7hXnhouVPnOnFwCGrQMHvB
Bom Diggy,Bom Diggy - Single,Zack Knight,null,https://i.scdn.co/image/ab67616d0000b273c7996259d7516dabfc6437f9,Hindi,https://open.spotify.com/track/7Dhy1R9NmD96wfr7VJEN37
Lamberghini,Lamberghini - Single,The Doorbeen,null,https://i.scdn.co/image/ab67616d0000b2730efef180ab4c228534e5d300,Hindi,https://open.spotify.com/track/45P9g6kUb7itdonjjGjDdS
Chogada,Loveyatri - A Journey Of Love,Darshan Raval,null,https://i.scdn.co/image/ab67616d0000b2730cdd32bef7af8af90d9f801d,Hindi,https://open.spotify.com/track/1HBGWNyoRJhxvsfO8LLFDo
Let's Nacho,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Nucleya,null,https://i.scdn.co/image/ab67616d0000b273906b1ca2d60a25925e56f0a9,Hindi,https://open.spotify.com/track/4mQpBIJKBpd8lcrtZ73SP8
The Breakup Song,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack),Pritam,null,https://i.scdn.co/image/ab67616d0000b2734a00b4392365a753c201bd75,Hindi,https://open.spotify.com/track/7BjQd0sfYsMGVrTpRdBNTT
"Channa Mereya (From ""Ae Dil Hai Mushkil"")","Channa Mereya (From ""Ae Dil Hai Mushkil"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b273ff1cda069aac9352c258f8d1,Hindi,https://open.spotify.com/track/1plFCZ6QFAjSRutT02GTCn
"High Rated Gabru (From ""Nawabzaade"")","High Rated Gabru (From ""Nawabzaade"")",Guru Randhawa,null,https://i.scdn.co/image/ab67616d0000b273d8229d0bb20ca18ec806b74f,Hindi,https://open.spotify.com/track/1ozrNv9W4KlprAmvgH0Yrq
Iktara,Wake Up Sid (Original Motion Picture Soundtrack),Amit Trivedi,null,https://i.scdn.co/image/ab67616d0000b27302ef23e492fb485d08068845,Hindi,https://open.spotify.com/track/3jtKSUiVDowKNBqVQbWaig
Sajdaa,My Name Is Khan (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,null,https://i.scdn.co/image/ab67616d0000b2734ead1372a95d29819105a7a7,Hindi,https://open.spotify.com/track/5upmbnXemLfPvs3d2eyHml
Ishq Wala Love,Student of the Year (Original Motion Picture Soundtrack),Vishal-Shekhar,null,https://i.scdn.co/image/ab67616d0000b273ad40f4e70b2f2a2a6052d49d,Hindi,https://open.spotify.com/track/1hQia6rxgfM1ly2hE3StWp
Mitwa,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,null,https://i.scdn.co/image/ab67616d0000b273afbf50bfb7b032b69deabade,Hindi,https://open.spotify.com/track/4BTPzhEsyW3blWcxcuhLM0
Pretty Woman,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,null,https://i.scdn.co/image/ab67616d0000b273a2055e0b847ff66fb5206099,Hindi,https://open.spotify.com/track/3rsx3pDYM3a08O0Yu3Tq6V
"Halka Halka (From ""Fanney Khan"")","Halka Halka (From ""Fanney Khan"")",Sunidhi Chauhan,null,https://i.scdn.co/image/ab67616d0000b2734799fd746fd2bb45ae9952f3,Hindi,https://open.spotify.com/track/44O26Gv1wQrlUj14PpTolM
Main Rang Sharbaton Ka,Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),Arijit Singh,null,https://i.scdn.co/image/ab67616d0000b273d52adda8da00eb255e099a11,Hindi,https://open.spotify.com/track/2sURneAotz0wUnak36GzQY
"Cheez Badi (From ""Machine"")",Best Of Neha Kakkar,Udit Narayan,null,https://i.scdn.co/image/ab67616d0000b2739d7bddae364c6d11491625c2,Hindi,https://open.spotify.com/track/102txb31XbUWOsccLOd7tp
Kala Chasma,Dance With Me - Aaja Ni Aaja,Kam Dhillon,null,https://i.scdn.co/image/ab67616d0000b273ea00e02f69b4960585ff53d3,Hindi,https://open.spotify.com/track/646OD5HyK4hBHQ04oW8tDJ
Gal Mitthi Mitthi,Aisha (Original Motion Picture Soundtrack),Amit Trivedi,null,https://i.scdn.co/image/ab67616d0000b273c82a4c10b28c394a59f70c0c,Hindi,https://open.spotify.com/track/4J9n7thOdqi8gxRGNyQoVC
Afreen Afreen (Coke Studio Season 9),Afreen Afreen (Coke Studio Season 9),Rahat Fateh Ali Khan,null,https://i.scdn.co/image/ab67616d0000b2732f9ca20eb76734b6361588b0,Hindi,https://open.spotify.com/track/7pBcon5GqvUfn58HRfF8wv
Shukran Allah,Kurbaan (Original Motion Picture Soundtrack),Salim–Sulaiman,null,https://i.scdn.co/image/ab67616d0000b273d976f08a9feba38efcafb5ff,Hindi,https://open.spotify.com/track/3nKEiJUeaWn8q2O9I1xwlB
Buddhu Sa Mann,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Amaal Mallik,null,https://i.scdn.co/image/ab67616d0000b273906b1ca2d60a25925e56f0a9,Hindi,https://open.spotify.com/track/1dxbiVeiV7nQ2V9qXnhJiB
I Hate Luv Storys,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,null,https://i.scdn.co/image/ab67616d0000b2731992dd7b33baf5887ea4a1ec,Hindi,https://open.spotify.com/track/4zUPL2OPTO3hgNhjaA1Rjn
"Banno (From ""Tannu Weds Manu Returns"")",Tanu Weds Manu Returns (Original Motion Picture Soundtrack),Brijesh Shandilya,null,https://i.scdn.co/image/ab67616d0000b273fe59a3bc714615cbce3581a0,Hindi,https://open.spotify.com/track/78LZUVqzZzsuNfT6G782pP
Dil Se Re,Dil Se (Original Motion Picture Soundtrack),A.R. Rahman,null,https://i.scdn.co/image/ab67616d0000b2734e2aa94e199e50bc8e10646f,Hindi,https://open.spotify.com/track/30yySOIXHZYx94sLAySy2j
Saiyyan,Jhoomo Re,Kailash Kher,null,https://i.scdn.co/image/ab67616d0000b273cd3f6c3c2f2aa9b76fe635b1,Hindi,https://open.spotify.com/track/2vR23BjIzpLMtzsyKrM6Mb
Kabira,Yeh Jawaani Hai Deewani,Pritam,null,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,Hindi,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
Aankh Marey,Simmba,Neha Kakkar,null,https://i.scdn.co/image/ab67616d0000b2731563e3ab78422f323f54c57f,Hindi,https://open.spotify.com/track/2UE5pVmMGjfD5XUQTpYpD6
"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")","Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"") - Single",Darshan Raval,null,https://i.scdn.co/image/ab67616d0000b2735753692ad72d2abde27bbd94,Hindi,https://open.spotify.com/track/3jyqXdAjwqO3gFtjnYrbq9
"Baby Doll (From ""Ragini Mms 2"")",Bollywood Party With Meet Bros,Meet Bros Anjjan,null,https://i.scdn.co/image/ab67616d0000b273b10b743b893027e5bf767d5f,Hindi,https://open.spotify.com/track/0QjiywAse0jM8QgPvtJrpC
"Dhating Naach (From ""Phata Poster Nikhla Hero"")",Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),Nakash Aziz,null,https://i.scdn.co/image/ab67616d0000b273d52adda8da00eb255e099a11,Hindi,https://open.spotify.com/track/5OkbwA2BTt9DXjfpUycLBs
Navrai Majhi,English Vinglish,Sunidhi Chauhan,null,https://i.scdn.co/image/ab67616d0000b2734a1dd6870e5ddcecbc27aef0,Hindi,https://open.spotify.com/track/73b9wDijCUpicQUzrc47EY
"Morni Banke (From ""Badhaai Ho"")","Morni Banke (From ""Badhaai Ho"")",Guru Randhawa,null,https://i.scdn.co/image/ab67616d0000b2737c47019d9cc68e1060a3fcb9,Hindi,https://open.spotify.com/track/2Wu9PNpLUCBl3W1GaPqkhl
Gallan Goodiyaan,Dil Dhadakne Do,Yashita Sharma,null,https://i.scdn.co/image/ab67616d0000b273cff978906e5901b8efacc904,Hindi,https://open.spotify.com/track/7hNYvX0qAKrxtVr1jGDmvR
