Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
"Chaleya (From ""Jawan"")","Chaleya (From ""Jawan"")",Anirudh Ravichander,null,https://i.scdn.co/image/ab67616d0000b27360dbbb589dff0c57a3a4ffb2,Hindi,https://open.spotify.com/track/4nc6XiUze2Yh7wFueGOPv7
Kabira,Yeh Jawaani Hai Deewani,Pritam,null,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,Hindi,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
Ishq Hai,Mismatched: Season 3 (Soundtrack from the Netflix Series),Anurag Saikia,null,https://i.scdn.co/image/ab67616d0000b27379f4a87c23143f0abb14c279,Hindi,https://open.spotify.com/track/3vCzLB6kS2lGcIpm1OOUsy
Raanjhana,The Arijit Singh Collection,Asad Khan,null,https://i.scdn.co/image/ab67616d0000b273627b5b17cb48f6e6956b842e,Hindi,https://open.spotify.com/track/7iv5enBhxphri6CwztAjt8
Meethi Boliyaan,Kai Po Che (Original Motion Picture Soundtrack),Amit Trivedi,null,https://i.scdn.co/image/ab67616d0000b2736a942b2b8ec9c67ef5512287,Hindi,https://open.spotify.com/track/6iFm1CcTrJe7SbZqXMXuDk
"Sajni (From ""Laapataa Ladies"")","Sajni (From ""Laapataa Ladies"")",Ram Sampath,null,https://i.scdn.co/image/ab67616d0000b273d5f4378b1ffc9119fdc7306d,Hindi,https://open.spotify.com/track/5zCnGtCl5Ac5zlFHXaZmhy
"Tenu Sang Rakhna (From ""Jigra"")","Tenu Sang Rakhna (From ""Jigra"")",Achint,null,https://i.scdn.co/image/ab67616d0000b273a9ca2d9f13c1ba201ba7cea9,Hindi,https://open.spotify.com/track/0Yf9Tgv5f55njDQeuRUnQH
Pal Pal,Pal Pal,Afusic,null,https://i.scdn.co/image/ab67616d0000b27385c5968be0d0d9c545241124,Hindi,https://open.spotify.com/track/4LMlVCXHJtCE9abhmn0mYo
Heeriye (feat. Arijit Singh),Heeriye (feat. Arijit Singh),Jasleen Royal,null,https://i.scdn.co/image/ab67616d0000b2734a60872ae145776164540a7f,Hindi,https://open.spotify.com/track/5PUXKVVVQ74C3gl5vKy9Li
"Kasturi (From ""Amar Prem Ki Prem Kahani"")","Kasturi (From ""Amar Prem Ki Prem Kahani"")",Arijit Singh,null,https://i.scdn.co/image/ab67616d0000b2730097e55317238f0a7dce13f6,Hindi,https://open.spotify.com/track/2E5kZ1qnB7V9bcwBEKvZv8
Uljhan,Uljhan,Parth Srivastava,null,https://i.scdn.co/image/ab67616d0000b27374c31b940459f6b7f40520a2,Hindi,https://open.spotify.com/track/13nrujwIxpJl1xtoDpvxyY
"Ishq - From ""Lost;Found""","Ishq (From ""Lost;Found"")",Faheem Abdullah,null,https://i.scdn.co/image/ab67616d0000b2739e3495a35db3c1e374ce09b5,Hindi,https://open.spotify.com/track/7hDoxkN20lLb06zifzYnD2
Finding Her,Finding Her,Kushagra,null,https://i.scdn.co/image/ab67616d0000b27383141000ee8ce3b893a0b425,Hindi,https://open.spotify.com/track/5ThyDv6aRVU8AH4vXQNldF
Is This Love,Kismat Konnection (Original Motion Picture Soundtrack),Mohit Chauhan,null,https://i.scdn.co/image/ab67616d0000b27370d1c1cddd8608784f288259,Hindi,https://open.spotify.com/track/0GVPRo9LEjxjT4C4o8BGot
Bin Tere,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,null,https://i.scdn.co/image/ab67616d0000b2731992dd7b33baf5887ea4a1ec,Hindi,https://open.spotify.com/track/3bZPdEskcnMdepwCaDSJRl
Saajna,"I, Me Aur Main",Falak Shabbir,null,https://i.scdn.co/image/ab67616d0000b27322e2fdf8f6aff29175132ffe,Hindi,https://open.spotify.com/track/7KzGAwJRYS9KLMuVnStqYN
Aashiq Tera,Happy Bhag Jayegi (Original Motion Picture Soundtrack),Altamash Faridi,null,https://i.scdn.co/image/ab67616d0000b273e005c1f068091493afd80816,Hindi,https://open.spotify.com/track/0SAZ4IHYMtjW4Lxrjm7NnG
"Kesariya (From ""Brahmastra"")","Kesariya (From ""Brahmastra"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b273c08202c50371e234d20caf62,Hindi,https://open.spotify.com/track/6VBhH7CyP56BXjp8VsDFPZ
"Woh Lamhe Woh Baatein - From ""Zeher""",Zeher (Original Motion Picture Soundtrack),Atif Aslam,null,https://i.scdn.co/image/ab67616d0000b27325055b41603705c1172409da,Hindi,https://open.spotify.com/track/21kImg7AxLbl7rrciuAwoB
Maand,Safar,Bayaan,null,https://i.scdn.co/image/ab67616d0000b273050a86ad4ac35aedb9b41d89,Hindi,https://open.spotify.com/track/2ZzZ2qwZBWlDKs420hhloc
Chann Tu Mera,Chann Tu Mera,MnA,null,https://i.scdn.co/image/ab67616d0000b273efcca4630cb7c9c6e677da5d,Hindi,https://open.spotify.com/track/6xFkWYBLIqsSSnsRxVUkRG
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b27339890c916878b32aebd1d0ee,Hindi,https://open.spotify.com/track/6EivvaEepVTjmDde43eGiB
"Ghodey Pe Sawaar (From ""Qala"")","Ghodey Pe Sawaar (From ""Qala"")",Amit Trivedi,null,https://i.scdn.co/image/ab67616d0000b273de95675c9c65702dd6a86be1,Hindi,https://open.spotify.com/track/1a8w8nlIyIhE2W1HIayKnl
Khwabon Mein - Lofi Verson,Khwabon Mein (Lofi Version),MnA,null,https://i.scdn.co/image/ab67616d0000b27370ea12bcbd53c5a025b545c8,Hindi,https://open.spotify.com/track/7fzmh4V3joCoLNigX091hz
O Rangrez,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,null,https://i.scdn.co/image/ab67616d0000b273fd2df008046f04c32d9c0c2e,Hindi,https://open.spotify.com/track/5JCDVLwteSXuwVqjCa7SwH
"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Sachin-Jigar,null,https://i.scdn.co/image/ab67616d0000b273b608e9bcf3845d082d1d559e,Hindi,https://open.spotify.com/track/2ceeTJAzKy295Fm0VsaXtE
Samjhawan,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),Jawad Ahmad,null,https://i.scdn.co/image/ab67616d0000b273118f1494d8f5ebea6cd5e20d,Hindi,https://open.spotify.com/track/4LO5DjN6Tp3UkUvgESuy2t
"Mushkil Hai (From ""Vicky Vidya Ka Woh Wala Video"")","Mushkil Hai (From ""Vicky Vidya Ka Woh Wala Video"")",Sachin-Jigar,null,https://i.scdn.co/image/ab67616d0000b2738d4a22e41df74acc689b98f1,Hindi,https://open.spotify.com/track/0nIN3cdeqNLLTGerYSKSXN
"O Maahi (From ""Dunki"")","O Maahi (From ""Dunki"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b2737506d87e6489c5a93c042523,Hindi,https://open.spotify.com/track/0qQ4IdhjzNr0gJhdMTf2n3
"Sapna Jahan (From ""Brothers"")","Sapna Jahan (From ""Brothers"")",Ajay-Atul,null,https://i.scdn.co/image/ab67616d0000b273471b7e4f9c2fcf92d4f1e5c1,Hindi,https://open.spotify.com/track/6uQkoo1UGWThtEpNEYc6Ga
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")","Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Vishal Mishra,null,https://i.scdn.co/image/ab67616d0000b2736624811ee1d8d7ccf5fadb80,Hindi,https://open.spotify.com/track/0645eBDehHcqfiF15hscQV
"Lutt Putt Gaya (From ""Dunki"")","Lutt Putt Gaya (From ""Dunki"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b2731a2e85cf59d754808254425f,Hindi,https://open.spotify.com/track/72Z2D7jpKevicRkyL45mbw
"Aadat - From ""Kalyug""",Kalyug (Original Motion Picture Soundtrack),Atif Aslam,null,https://i.scdn.co/image/ab67616d0000b273a42a1a134199e3568884af8e,Hindi,https://open.spotify.com/track/5VrLz2NUTLbPzgjuVOjxUx
