Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
Hamari Adhuri Kahani (Title Track),Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Jeet Gannguli,null,https://i.scdn.co/image/ab67616d0000b273b0f9ceb59927ab76fe6269be,Hindi,https://open.spotify.com/track/3HiobOOpSpMsi95WBKPBYk
"Zamaana Lage (From ""Metro ... In Dino"")","Zamaana Lage (From ""Metro ... In Dino"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b2736d73f67ed72ae8eeb251040f,Hindi,https://open.spotify.com/track/76ec1a1bkFfOqoVf6e7nae
"Agar Tum Saath Ho (From ""Tamasha"")",Love Forever With Arijit Singh,Alka Yagnik,null,https://i.scdn.co/image/ab67616d0000b2737569cbe3695608074d9fd389,Hindi,https://open.spotify.com/track/2FCXQHugkoHE1K3tiDu8pu
"Aur Mohabbat Kitni Karoon (From ""Metro ... In Dino"")","Aur Mohabbat Kitni Karoon (From ""Metro ... In Dino"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b273114e03dcb192736b33a42cb5,Hindi,https://open.spotify.com/track/3EIMdrD4DstJVklUH9Ai7Y
Ae Dil Hai Mushkil Title Track,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Pritam,null,https://i.scdn.co/image/ab67616d0000b273bca30634e6cad10b97c03d21,Hindi,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI
"Dil Ka Kya (From ""Metro ... In Dino"")","Dil Ka Kya (From ""Metro ... In Dino"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b27317f0bd02c78bdfa0f4d55b79,Hindi,https://open.spotify.com/track/69tPsAXkjn3cTXoLSMr6d3
"Raanjhan (From ""Do Patti"")","Raanjhan (From ""Do Patti"")",Sachet-Parampara,null,https://i.scdn.co/image/ab67616d0000b273773c5f60bcb309ef8802e4ef,Hindi,https://open.spotify.com/track/4vHRQnzGcKEtqsLH70tAms
Raatein Guzaari,Raatein Guzaari,Aditya Rikhari,null,https://i.scdn.co/image/ab67616d0000b2733d78229c27310185a9dd4a0f,Hindi,https://open.spotify.com/track/0ZnBHVFiUAnVTF38LUVDpR
Tum Hi Ho,Aashiqui 2,Mithoon,null,https://i.scdn.co/image/ab67616d0000b2736404721c1943d5069f0805f3,Hindi,https://open.spotify.com/track/56zZ48jdyY2oDXHVnwg5Di
"Sajde - From ""Lost;Found""","Sajde (From ""Lost;Found"")",Faheem Abdullah,null,https://i.scdn.co/image/ab67616d0000b2737e68b567e5db969d3b7dd9be,Hindi,https://open.spotify.com/track/6lXXUx3PwJ4B4cln5FJfzo
Tera Chehra,Sanam Teri Kasam (Original Motion Picture Soundtrack),Himesh Reshammiya,null,https://i.scdn.co/image/ab67616d0000b273711c1639b4bc0f9978ae77a6,Hindi,https://open.spotify.com/track/3trnNo4KeaUlFuUiV7iRCj
"Mann Ye Mera (From ""Metro ... In Dino"")","Mann Ye Mera (From ""Metro ... In Dino"")",Pritam,null,https://i.scdn.co/image/ab67616d0000b2739a5afd03b628b2ba07efdfea,Hindi,https://open.spotify.com/track/1iM0dkfgtTxBi7yQV16pjD
Die With A Smile,Die With A Smile,Lady Gaga,null,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,English,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe
