Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
"Kudi Nu Nachne De (From ""Angrezi Medium"")","Kudi Nu Nachne De (From ""Angrezi Medium"")",Vishal Dadlani,null,https://i.scdn.co/image/ab67616d0000b2737fb3c81257f9398123256f84,Hindi,https://open.spotify.com/track/4YIhJmihoXwjtbY4vsV9Nh
Patakha Guddi,Highway,Sultana,null,https://i.scdn.co/image/ab67616d0000b2731f4e9ecaf6913e207810093f,Hindi,https://open.spotify.com/track/7jpmNt5iCtSdXuT1xEGp8O
Nadaan Parinde,Rockstar,A.R. Rahman,null,https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b,Hindi,https://open.spotify.com/track/6Z394Nd4gW6Ts9hmu3NUjx
Dil Chahta Hai,Dil Chahta Hai,Shankar Mahadevan,null,https://i.scdn.co/image/ab67616d0000b2735da5e18b4f9a33d42e737c21,Hindi,https://open.spotify.com/track/2r1CHpKRDdzHGJScn5UqjX
Sinbad The Sailor,Rock On,Farhan Akhtar,null,https://i.scdn.co/image/ab67616d0000b27319bf9ebc57d912cda1f83de8,Hindi,https://open.spotify.com/track/03VTytguq5MS6e3x03y5i1
Love You Zindagi,Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi,null,https://i.scdn.co/image/ab67616d0000b27349079e6945b600abe668cae4,Hindi,https://open.spotify.com/track/6k3XXCE1ZzwevQlxf8dNaw
Kun Faya Kun,Rockstar,A.R. Rahman,null,https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b,Hindi,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6
Gal Mitthi Mitthi,Aisha (Original Motion Picture Soundtrack),Amit Trivedi,null,https://i.scdn.co/image/ab67616d0000b273c82a4c10b28c394a59f70c0c,Hindi,https://open.spotify.com/track/4J9n7thOdqi8gxRGNyQoVC
Raghupati Raghav,Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),Jatin-Lalit,null,https://i.scdn.co/image/ab67616d0000b273fe841eef499c6933add94d57,Hindi,https://open.spotify.com/track/307KPUfJ7GREExZZlzTRUc
"Tum Hi Ho Bandhu (From ""Cocktail"")",Cocktail,Neeraj Shridhar,null,https://i.scdn.co/image/ab67616d0000b273b6cfbb83ebf76959832174b4,Hindi,https://open.spotify.com/track/2zZTXtLqCsICzEcztKjn47
Dance Pe Chance,Rab Ne Bana Di Jodi,Salim–Sulaiman,null,https://i.scdn.co/image/ab67616d0000b2731555fec10000486f9331fbc8,Hindi,https://open.spotify.com/track/5EqggGHTuqiUfruO2gMHhI
Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,null,https://i.scdn.co/image/ab67616d0000b2731236f9aabbd45bf852bdbd9c,Hindi,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
Chhalka Chhalka Re,Saathiya,A.R. Rahman,null,https://i.scdn.co/image/ab67616d0000b273fb2bce3c5716f9bd1f0aaad7,Hindi,https://open.spotify.com/track/7vRIIW5wK7jNxjhEVXJeIV
Iktara,Wake Up Sid (Original Motion Picture Soundtrack),Amit Trivedi,null,https://i.scdn.co/image/ab67616d0000b27302ef23e492fb485d08068845,Hindi,https://open.spotify.com/track/3jtKSUiVDowKNBqVQbWaig
Ankahee,Lootera,Amitabh Bhattacharya,null,https://i.scdn.co/image/ab67616d0000b2730e26db222796cf4207425abc,Hindi,https://open.spotify.com/track/08P8lJZE9PvvTiUHlIRbiv
Oo Oo Jaane Jaana,Oo Oo Jaane Jaana,Swapneel Jaiswal,null,https://i.scdn.co/image/ab67616d0000b273dda4ec9b64738b2d467510f3,Hindi,https://open.spotify.com/track/0253ZnhVDBBogVLWhxhvAW
Dil Dooba,Khakee,Sonu Nigam,null,https://i.scdn.co/image/ab67616d0000b27318463e8c010147732c5ba7ca,Hindi,https://open.spotify.com/track/6cUaCs1lKfDOyFKMkBF8ch
Wo Ajnabee,The Train,Mithoon,null,https://i.scdn.co/image/ab67616d0000b27351d1cd8d46cbcd8fd4508356,Hindi,https://open.spotify.com/track/0ZNg3I2kga2XnqKp1Y9PeZ
Chup Chup Ke,Bunty Aur Babli,Shankar-Ehsaan-Loy,null,https://i.scdn.co/image/ab67616d0000b273fb15b0d84124e875b0b0494c,Hindi,https://open.spotify.com/track/2C6l8EGcbfcLXu0mWfAadB
Khwaja Mere Khwaja,Jodhaa Akbar (Original Motion Picture Soundtrack),A.R. Rahman,null,https://i.scdn.co/image/ab67616d0000b27346131d4d7919c5cacd15c7d3,Hindi,https://open.spotify.com/track/4Zuei1UAP5pB5ovra9dnnp
Jo Bhi Main,Rockstar,Mohit Chauhan,null,https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b,Hindi,https://open.spotify.com/track/2MmAYegcUty1DmG0Gw7AMh
Katiya Karun,Rockstar,Harshdeep Kaur,null,https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b,Hindi,https://open.spotify.com/track/1qPhMBWYNCxVwMGARrySde
Saudebazi (Encore),Aakrosh,Pritam,null,https://i.scdn.co/image/ab67616d0000b273b425c9dadc417923e894eb59,Hindi,https://open.spotify.com/track/1tPPINau3vBP8Q89JTn0ER
Meri Mehbooba,Pardes (Original Motion Picture Soundtrack),Kumar Sanu,null,https://i.scdn.co/image/ab67616d0000b2739decf911fd878b73390db3a4,Hindi,https://open.spotify.com/track/3CVsfCGtVJGLH9UQMKmBMC
Uyirin Uyire,Kaakha Kaakha (Original Motion Picture Soundtrack),Krishnakumar Kunnath,null,https://i.scdn.co/image/ab67616d0000b273e73033159975344301463178,Hindi,https://open.spotify.com/track/7LuYc1yBvfvvLC1O7Ng4v4
Aasman Ke,Top of the Pops,KK,null,https://i.scdn.co/image/ab67616d0000b2736ce3d270e624669449a0abc2,Hindi,https://open.spotify.com/track/6nIwyjPtaHh3sYbRq1KWmy
Pyaar Ke Pal,Pal,KK,null,https://i.scdn.co/image/ab67616d0000b273c5c21792c40b47fa10d13f37,Hindi,https://open.spotify.com/track/6GWchpKWsKkwR6jcl0yG6V
Pasoori,Pasoori,Ali Sethi,null,https://i.scdn.co/image/ab67616d0000b2733f3d35703bdcd917dad51c4f,Hindi,https://open.spotify.com/track/7lvDsmTRXFE3dK4OjvRiWB
Laaree Chootee,Dhoom,Call,null,https://i.scdn.co/image/ab67616d0000b2736e02f864cb0744b2210fdfce,Hindi,https://open.spotify.com/track/3juoXpZ1CRCbWHnWk5rVbV
Dholna,Dil To Pagal Hai,Uttam Singh,null,https://i.scdn.co/image/ab67616d0000b273b96494dc6eaedc90919365df,Hindi,https://open.spotify.com/track/6O8ZM3IKYcSBzpnuxpCAQr
Rahar,Rahar,Subani Moktan,null,https://i.scdn.co/image/ab67616d0000b273fc81b1b0a213f26d1b89c82c,Nepali,https://open.spotify.com/track/6XLrMyZ2uzYAV4kvaNelQ2
Maya ho ki maya jastai,Maya ho ki maya jastai,Subani Moktan,null,https://i.scdn.co/image/ab67616d0000b273e1153d248421e43e67b7c758,Nepali,https://open.spotify.com/track/3Muyg1VUDuBzMNs4lPEc8Y
Laakhau Hajarau,Laakhau Hajarau,Yabesh Thapa,null,https://i.scdn.co/image/ab67616d0000b27340b0f57a4e93e6ba5ba50c21,Nepali,https://open.spotify.com/track/7FmmE8lJwwX61kVB3xU0vb
Batash,Batash,Shashwot Khadka,null,https://i.scdn.co/image/ab67616d0000b273c3cfb6473bc92b43759df805,Nepali,https://open.spotify.com/track/1A4clpbjUAXFAb3KdEX4Z4
Sunideu,Sunideu,Apurva Tamang,null,https://i.scdn.co/image/ab67616d0000b273ec04b77c8b3cd9857ff400c1,Nepali,https://open.spotify.com/track/39YgIosRNaZgwRgYjkYgkM
Birsiney Hau Ki,Birsiney Hau Ki,The Elements,null,https://i.scdn.co/image/ab67616d0000b273b4e65dbf74fe87c48186c595,Nepali,https://open.spotify.com/track/0Ley2dKfWsTgMEZGES12Ep
Kholai Khola,Kholai Khola,Neetesh Jung Kunwar,null,https://i.scdn.co/image/ab67616d0000b273e33ccb95e40318ad3be9a591,Nepali,https://open.spotify.com/track/4KWWotE0IbxApQFNvtCegt
Hajaraw Rahara,Hajaraw Rahara,Anmol Gurung,null,https://i.scdn.co/image/ab67616d0000b27330277e83db7aa177922d1583,Nepali,https://open.spotify.com/track/6eQXGOgY1uW7g540ZEhwSG
MAAT LAGYO,MAAT LAGYO,Anmol Gurung,null,https://i.scdn.co/image/ab67616d0000b273b42d6e386a50e9f9e575d500,Nepali,https://open.spotify.com/track/2kgSNPTKRhmfMINJtgYUe2
Timro Muskan Ley,Timro Muskan Ley,Anmol Gurung,null,https://i.scdn.co/image/ab67616d0000b273a59f70e62886c43ebbdf8f60,Nepali,https://open.spotify.com/track/7AR7bGt1tHC2J83x8lUfpO
Namari Baachey,La Hai,Adrian Pradhan,null,https://i.scdn.co/image/ab67616d0000b273b033b2b90a35bf3cd082d76c,Nepali,https://open.spotify.com/track/2bGBpFmp6XyPC2uajtzXyR
