Name,Album,Artist,Link,Image
"Woh Lamhe Woh Baatein - From ""Zeher""",Zeher (Original Motion Picture Soundtrack),Various Artists,,https://i.scdn.co/image/ab67616d0000b27325055b41603705c1172409da
Aahista,Laila Majnu (Original Motion Picture Soundtrack),Niladri Kumar,,https://i.scdn.co/image/ab67616d0000b273fc8c4535825cdc0bcafde19a
The Pool,"What Was, Not Now",Stephen Sanchez,,https://i.scdn.co/image/ab67616d0000b273248a6e26a604a985c0be5c5c
I Want You,"What Was, Not Now",Stephen Sanchez,,https://i.scdn.co/image/ab67616d0000b273248a6e26a604a985c0be5c5c
Be More,Angel Face,Stephen Sanchez,,https://i.scdn.co/image/ab67616d0000b273199b850d4877866cf7e318d1
Baarish,Yaariyan,Pritam,,https://i.scdn.co/image/ab67616d0000b273a51f57ce4e92c152479caab7
Yeh Fitoor Mera,Fitoor (Original Motion Picture Soundtrack),Amit Trivedi,,https://i.scdn.co/image/ab67616d0000b273b99c0e6b9bf5ba4da74e816d
Kuch Is Tarah,Doorie,Atif Aslam,,https://i.scdn.co/image/ab67616d0000b273defda13201d7fdefe9ba3ec9
Lag Ja Gale,Rewind With Sanam,Sanam,,https://i.scdn.co/image/ab67616d0000b2737d75fb1f269e77ed8c3e0e7a
Teri Fariyad,Tum Bin 2,Ankit Tiwari,,https://i.scdn.co/image/ab67616d0000b273d03eb0764b6a18b362febb88
Aur Ho,Rockstar,A.R. Rahman,,https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b
Mar Jaayen (Reprise),Loveshhuda (Original Motion Picture Soundtrack),Parichay,,https://i.scdn.co/image/ab67616d0000b2730702fee839525e0dc079c849
Nihita,Nihita,John Rai,,https://i.scdn.co/image/ab67616d0000b27311930809bbc858da89a09d17
Farkanna Hola,Farkanna Hola,John Rai,,https://i.scdn.co/image/ab67616d0000b2739334a45dd3825f11d8871ca7
Chinta,Roka Yo Samay,Tribal Rain,,https://i.scdn.co/image/ab67616d0000b273698de3a9f0f9794f7760ac7d
Lukaamaari,Lukaamaari,Sajjan Raj Vaidya,,https://i.scdn.co/image/ab67616d0000b273d8e68f6d571723a7982272d1
Hawaijahaj,Sajjan Raj Vaidya 2016 Releases,Sajjan Raj Vaidya,,https://i.scdn.co/image/ab67616d0000b27363ab3d245ef5f337843d1634
Kuraakaani,Kuraakaani,Sajjan Raj Vaidya,,https://i.scdn.co/image/ab67616d0000b273a086f4ac7f8e338e38bbe903
Ultaa Paailaa,Ultaa Paailaa,Sajjan Raj Vaidya,,https://i.scdn.co/image/ab67616d0000b273f756f43daae2c73063dc2cb4
Mayaloo,Sajjan Raj Vaidya 2016 Releases,Sajjan Raj Vaidya,,https://i.scdn.co/image/ab67616d0000b27363ab3d245ef5f337843d1634
Maand,Safar,Bayaan,,https://i.scdn.co/image/ab67616d0000b273050a86ad4ac35aedb9b41d89
Teri Tasveer,Suno,Bayaan,,https://i.scdn.co/image/ab67616d0000b2737f8011441f4d43a9a6bba9d5
Kahani,Kahani,Taba Chake,,https://i.scdn.co/image/ab67616d0000b2734daf04ea332db1fc6b318632
Phir Se Shuru,Phir Se Shuru,Ashu Shukla,,https://i.scdn.co/image/ab67616d0000b27399028bfc21d991d2931065af
Aye Dil Bata,Ishk Actually,Various Artists,,https://i.scdn.co/image/ab67616d0000b27366337868b55521474bdd9cc4
Choo Lo,Aalas Ka Pedh,The Local Train,,https://i.scdn.co/image/ab67616d0000b2738e001d2d4b55039b545d047e
Saware,Phantom,Pritam,,https://i.scdn.co/image/ab67616d0000b2737037561f1e7a2c5ff3cd0a38
Tum Ho,Rockstar,A.R. Rahman,,https://i.scdn.co/image/ab67616d0000b27354e544672baa16145d67612b
"Rait Zara Si (From ""Atrangi Re"")","Rait Zara Si (From ""Atrangi Re"")",A.R. Rahman,,https://i.scdn.co/image/ab67616d0000b273004f83c1be7d66c4677b32a8
Main Agar,Tubelight (Original Motion Picture Soundtrack),Pritam,,https://i.scdn.co/image/ab67616d0000b2730c48954e66247408ed370cf2
Yo Dil Mero,Mero Prayas,The Edge Band,,https://i.scdn.co/image/ab67616d0000b27339db074a8ff3af4d6a5ba17a
Nachodnu Yo Saath,Mero Prayas,The Edge Band,,https://i.scdn.co/image/ab67616d0000b27339db074a8ff3af4d6a5ba17a
Nachahe Ko Hoina,Mero Prayas,The Edge Band,,https://i.scdn.co/image/ab67616d0000b27339db074a8ff3af4d6a5ba17a
this is what heartbreak feels like,this is what heartbreak feels like (432Hz),JVKE,,https://i.scdn.co/image/ab67616d0000b273f06a22f2e0d39d75b4f56814
"Pal (From ""Monsoon Shootout"")","Pal (From ""Monsoon Shootout"") - Single",Arijit Singh,,https://i.scdn.co/image/ab67616d0000b273a69ff665e20b517fff8e1581
Kadam,Karwaan,Various Artists,,https://i.scdn.co/image/ab67616d0000b273f07f0455c6cc38f14105acfb
everything i wanted,everything i wanted,Billie Eilish,,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce
idontwannabeyouanymore,dont smile at me,Billie Eilish,,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795
TV,Guitar Songs,Billie Eilish,,https://i.scdn.co/image/ab67616d0000b2737a4781629469bb83356cd318
Aparibhasit,Aparibhasit,Swar,,https://i.scdn.co/image/ab67616d0000b27332776c27af4a11038cab455a
udirahechan,udirahechan,Swar,,https://i.scdn.co/image/ab67616d0000b2739d01ceb6b9d86b63e907143c
Basanta,Jptrockerz,Jptrockerz,,https://i.scdn.co/image/ab67616d0000b27346473ab00051f4125b7dae6e
Kalo/Seto,Kalo/Seto,Purna Rai,,https://i.scdn.co/image/ab67616d0000b273d16c735d5ccc975761f6e3f8
Chameli Phoola,Chameli Phoola,Kuma Sagar,,https://i.scdn.co/image/ab67616d0000b2732cc8542ce909b7343f64b7d0
A Mai Re,A Mai Re,Kuma Sagar,,https://i.scdn.co/image/ab67616d0000b2731b81634d42a907f2ece8fcd0
Furfuri,Furfuri,Kuma Sagar,,https://i.scdn.co/image/ab67616d0000b273904dec6891df07dd2ed2e584
Bhawana,Bhawana,Rockheads,,https://i.scdn.co/image/ab67616d0000b273eeeb2abbdecee0bf7b3bf85a
Khud Se,Wahaan,Osho Jain,,https://i.scdn.co/image/ab67616d0000b2731e33a4e7a749feec18a9fd7e
Saans,Jab Tak Hai Jaan,A.R. Rahman,,https://i.scdn.co/image/ab67616d0000b2731efbf8b77e571388b3520f72
Aap Ki Nazron Ne Samjha,Aap Ki Nazron Ne Samjha - Sanam,Sanam,,https://i.scdn.co/image/ab67616d0000b273f6f1cbce57a29e0ee6ba8cc7
Tere Bin,Bas Ek Pal (Original Motion Picture Soundtrack),Pritam,,https://i.scdn.co/image/ab67616d0000b273b4ed312e48e0a69e47f0899d
Hai Dil Ye Mera,Hate Story 2,Various Artists,,https://i.scdn.co/image/ab67616d0000b273467cc511d190809571295e3f
Tere Naal Ishqa (feat. Kailash Kher),Shivaay,Mithoon,,https://i.scdn.co/image/ab67616d0000b273e7fe7d656750737e8d369f95
Tum Se,Jalebi (Original Motion Picture Soundtrack),Javed-Mohsin,,https://i.scdn.co/image/ab67616d0000b2737611d2bfb8543b427f51efb6
